id,date,dotw,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories
1,4/12/2016,Tuesday,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985
1,4/13/2016,Wednesday,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21,19,217,776,1797
1,4/14/2016,Thursday,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776
1,4/15/2016,Friday,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745
1,4/16/2016,Saturday,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,0,36,10,221,773,1863
1,4/17/2016,Sunday,9705,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,0,38,20,164,539,1728
1,4/18/2016,Monday,13019,8.590000153,8.590000153,0,3.25,0.639999986,4.710000038,0,42,16,233,1149,1921
1,4/19/2016,Tuesday,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035
1,4/20/2016,Wednesday,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1786
1,4/21/2016,Thursday,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775
1,4/22/2016,Friday,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827
1,4/23/2016,Saturday,14371,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,0,41,21,262,732,1949
1,4/24/2016,Sunday,10039,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,39,5,238,709,1788
1,4/25/2016,Monday,15355,9.800000191,9.800000191,0,5.289999962,0.569999993,3.940000057,0,73,14,216,814,2013
1,4/26/2016,Tuesday,13755,8.789999962,8.789999962,0,2.329999924,0.920000017,5.539999962,0,31,23,279,833,1970
1,4/27/2016,Wednesday,18134,12.21000004,12.21000004,0,6.400000095,0.409999996,5.409999847,0,78,11,243,1108,2159
1,4/28/2016,Thursday,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898
1,4/29/2016,Friday,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837
1,4/30/2016,Saturday,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1947
1,5/1/2016,Sunday,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820
1,5/2/2016,Monday,14727,9.710000038,9.710000038,0,3.210000038,0.569999993,5.920000076,0,41,15,277,798,2004
1,5/3/2016,Tuesday,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990
1,5/4/2016,Wednesday,11100,7.150000095,7.150000095,0,2.460000038,0.870000005,3.819999933,0,36,22,203,1179,1819
1,5/5/2016,Thursday,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250,857,1959
1,5/6/2016,Friday,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896
1,5/7/2016,Saturday,11992,7.710000038,7.710000038,0,2.460000038,2.119999886,3.130000114,0,37,46,175,833,1821
1,5/8/2016,Sunday,10060,6.579999924,6.579999924,0,3.529999971,0.319999993,2.730000019,0,44,8,203,574,1740
1,5/9/2016,Monday,12022,7.71999979,7.71999979,0,3.450000048,0.529999971,3.74000001,0,46,11,206,835,1819
1,5/10/2016,Tuesday,12207,7.769999981,7.769999981,0,3.349999905,1.159999967,3.25999999,0,46,31,214,746,1859
1,5/11/2016,Wednesday,12770,8.130000114,8.130000114,0,2.559999943,1.00999999,4.550000191,0,36,23,251,669,1783
1,5/12/2016,Thursday,0,0,0,0,0,0,0,0,0,0,0,1440,0
2,4/12/2016,Tuesday,8163,5.309999943,5.309999943,0,0,0,5.309999943,0,0,0,146,1294,1432
2,4/13/2016,Wednesday,7007,4.550000191,4.550000191,0,0,0,4.550000191,0,0,0,148,1292,1411
2,4/14/2016,Thursday,9107,5.920000076,5.920000076,0,0,0,5.909999847,0.01,0,0,236,1204,1572
2,4/15/2016,Friday,1510,0.980000019,0.980000019,0,0,0,0.970000029,0,0,0,96,1344,1344
2,4/16/2016,Saturday,5370,3.49000001,3.49000001,0,0,0,3.49000001,0,0,0,176,1264,1463
2,4/17/2016,Sunday,6175,4.059999943,4.059999943,0,1.029999971,1.519999981,1.49000001,0.01,15,22,127,1276,1554
2,4/18/2016,Monday,10536,7.409999847,7.409999847,0,2.150000095,0.620000005,4.619999886,0.01,17,7,202,1214,1604
2,4/19/2016,Tuesday,2916,1.899999976,1.899999976,0,0,0,1.899999976,0,0,0,141,1299,1435
2,4/20/2016,Wednesday,4974,3.230000019,3.230000019,0,0,0,3.230000019,0,0,0,151,1289,1446
2,4/21/2016,Thursday,6349,4.130000114,4.130000114,0,0,0,4.110000134,0.02,0,0,186,1254,1467
2,4/22/2016,Friday,4026,2.619999886,2.619999886,0,0,0,2.599999905,0,0,0,199,1241,1470
2,4/23/2016,Saturday,8538,5.550000191,5.550000191,0,0,0,5.539999962,0.01,0,0,227,1213,1562
2,4/24/2016,Sunday,6076,3.950000048,3.950000048,0,1.149999976,0.910000026,1.889999986,0,16,18,185,1221,1617
2,4/25/2016,Monday,6497,4.21999979,4.21999979,0,0,0,4.199999809,0.02,0,0,202,1238,1492
2,4/26/2016,Tuesday,2826,1.840000033,1.840000033,0,0,0,1.830000043,0.01,0,0,140,1300,1402
2,4/27/2016,Wednesday,8367,5.440000057,5.440000057,0,1.110000014,1.870000005,2.460000038,0,17,36,154,1233,1670
2,4/28/2016,Thursday,2759,1.789999962,1.789999962,0,0,0.200000003,1.600000024,0,0,5,115,1320,1401
2,4/29/2016,Friday,2390,1.549999952,1.549999952,0,0,0,1.549999952,0,0,0,150,1290,1404
2,4/30/2016,Saturday,6474,4.300000191,4.300000191,0,0.899999976,1.279999971,2.119999886,0.01,11,23,224,1182,1655
2,5/1/2016,Sunday,36019,28.03000069,28.03000069,0,21.92000008,4.190000057,1.909999967,0.02,186,63,171,1020,2690
2,5/2/2016,Monday,7155,4.929999828,4.929999828,0,0.860000014,0.589999974,3.470000029,0,7,6,166,1261,1497
2,5/3/2016,Tuesday,2100,1.370000005,1.370000005,0,0,0,1.340000033,0.02,0,0,96,1344,1334
2,5/4/2016,Wednesday,2193,1.429999948,1.429999948,0,0,0,1.419999957,0,0,0,118,1322,1368
2,5/5/2016,Thursday,2470,1.610000014,1.610000014,0,0,0,1.580000043,0.02,0,0,117,1323,1370
2,5/6/2016,Friday,1727,1.120000005,1.120000005,0,0,0,1.120000005,0.01,0,0,102,1338,1341
2,5/7/2016,Saturday,2104,1.370000005,1.370000005,0,0,0,1.370000005,0,0,0,182,1258,1474
2,5/8/2016,Sunday,3427,2.230000019,2.230000019,0,0,0,2.220000029,0,0,0,152,1288,1427
2,5/9/2016,Monday,1732,1.129999995,1.129999995,0,0,0,1.129999995,0,0,0,91,1349,1328
2,5/10/2016,Tuesday,2969,1.929999948,1.929999948,0,0,0,1.919999957,0.01,0,0,139,1301,1393
2,5/11/2016,Wednesday,3134,2.039999962,2.039999962,0,0,0,2.039999962,0,0,0,112,1328,1359
2,5/12/2016,Thursday,2971,1.929999948,1.929999948,0,0,0,1.919999957,0.01,0,0,107,890,1002
